"","Year","EventType","Actor1","Actor2","Country","Region","Location","ConflictLat","ConflictLong","StationID","YrMoDy","MaxTemp","StationName","StationLong","StationLat","TempCat"
"27228",2004,"Battles","Imorere Ethnic Militia (Nigeria)","Ibanuha Ethnic Militia (Nigeria)","Nigeria","Kogi State","Ogaminana",7.59,6.19,652710,20041013,91,"MAKURDI",8.53,7.73,"M"
"28318",2006,"Battles","Military Forces of Nigeria (1999-2007)","NDV: Niger Delta Vigilante","Nigeria","Abia State","Okrika",4.73,7.08,652500,20060526,91.8,"PORT HARCOURT",7.01,4.84,"M"
"34751",1999,"Battles","Military Forces of Ethiopia (1991-)","Military Forces of Eritrea (1993-)","Eritrea","Gash Barka","Badme",14.71,37.79,627300,19990225,103.59,"KASSALA",36.4,15.46,"M"
"2126",2008,"Violence against civilians","ZANU-PF: Zimbabwe African National Union-Patriotic Front Militia","Civilians (MDC - Movement for Democratic Change)","Zimbabwe","Mashonaland East","Mudzi",-17.13,32.66,677810,20080520,69.8,"MUTOKO",32.21,-17.41,"C"
"17488",1998,"Battles","Mutinying Military Forces of Lesotho (1998-)","Military Forces of Botswana (1998-2008)","Lesotho","Maseru District","Maseru",-29.31,27.48,684490,19980922,84.4,"FICKSBURG",27.89,-28.81,"H"
"20449",2007,"Violence against civilians","Unidentified Armed Group (Nigeria)","Civilians (Foreign)","Nigeria","Delta State","Niger Delta",5.32,6.47,648100,20070323,86,"MALABO",8.76,3.75,"M"
"16005",2003,"Battles","Military Forces of Burundi (1996-2005)","CNDD-FDD: National Council for the Defense of Democracy","Burundi","Rutana","Kayero",-3.81,30.12,638010,20030130,84,"KIGOMA",29.66,-4.88,"M"
"35",2001,"Violence against civilians","GIA: Armed Islamic Group of Algeria","Civilians (Algeria)","Algeria","Setif","Setif",36.2,5.4,604450,20011208,48.9,"SETIF",5.25,36.18,"C"
"32419",2000,"Riots","Protesters (Burkina Faso)","Police Forces of Burkina Faso (1987-)","Burkina Faso","Kadiogo","Ouagadougou",12.37,-1.52,655030,20001017,97,"OUAGADOUGOU",-1.51,12.35,"M"
"26800",2004,"Battles","Military Forces of Democratic Republic of Congo (2003-)","Former Military of DRC (1965-1997)","Democratic Republic of Congo","Kinshasa","Kinshasa",-4.32,15.31,644500,20040326,90.5,"BRAZZAVILLE/MAYA-M",15.25,-4.25,"M"
"21692",2002,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Montserrado","Arthington",6.51,-10.68,618490,20020527,86.9,"NZEREKORE",-8.3,7.75,"M"
"16512",2002,"Violence against civilians","ZANU-PF: Zimbabwe African National Union-Patriotic Front Militia","Civilians (Zimbabwe)","Zimbabwe","Mashonaland Central","Guruve",-16.66,30.7,677790,20020109,84.19,"MOUNT DARWIN",31.58,-16.78,"M"
"28574",2010,"Riots","Protesters (Nigeria)","","Nigeria","Edo State","Egor",6.38,5.56,652290,20100503,92.09,"BENIN",5.09,6.31,"M"
"13137",1999,"Violence against civilians","Unidentified Armed Group (South Africa)","Civilians (South Africa)","South Africa","KwaZulu-Natal Province","Richmond",-29.86,30.26,684963,19990123,82.4,"PIETERMARITZBURG",30.39,-29.64,"M"
"21853",2007,"Battles","Military Forces of Sudan (1989-)","SLM/A: Sudan Liberation Movement/Army","Sudan","Kordofan","Wad Banda",13.1,27.95,627810,20070829,86.9,"EN NAHUD",28.43,12.69,"C"
"15473",1998,"Violence against civilians","Hutu Rebels","Civilians (Rwanda)","Rwanda","Gitarama","Mushubati",-2.05,29.72,643870,19980605,83.5,"KIGALI INTL",30.13,-1.96,"M"
"28429",2006,"Battles","Military Forces of Senegal (2000-)","MFDC: Movement of Democratic Forces in the Casamance","Senegal","Ziguinchor","Ziguinchor",12.58,-16.26,616950,20060103,91.9,"ZIGUINCHOR",-16.26,12.55,"M"
"4682",2006,"Battles","Military Forces of Sudan (1989-)","Eastern Front","Eritrea","Anseba","Asmara",15.33,38.93,633300,20061014,74.8,"MAKALE",39.48,13.5,"M"
"5700",2003,"Violence against civilians","Civilians (Uganda)","LRA: Lord's Resistance Army","Uganda","Lira Distirct","Gomi village in Amachi sub-county",2.08,33.16,636610,20031120,75.9,"KITALE",35,1.01,"M"
"22573",1999,"Violence against civilians","Military Forces of Ethiopia (1995-2001)","Civilians (Kenya)","Kenya","Moyale District","Dambala Fulchana",3.5,38.75,636190,19990118,87.8,"MOYALE",39.04,3.58,"H"
"30825",2008,"Battles","Unidentified Armed Group (Somalia)","TFG forces: Transitional Federal Government forces (Somalia)","Somalia","Bay","Baidoa",3.11,43.65,634780,20080428,94.59,"GODE",43.58,5.9,"M"
"31175",2007,"Battles","Military Forces of Ethiopia (1991-)","ONLF: Ogaden National Liberation Front","Ethiopia","Ogaden","Ogaden",8,44,634780,20071029,95,"GODE",43.58,5.9,"M"
"9971",2008,"Violence against civilians","Pokot Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Bukwa District","Burirwok in Suam",1.79,35.15,636610,20080506,80.09,"KITALE",35,1.01,"M"
"5362",1999,"Riots","Protesters","Police Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,19990814,75.4,"NZEREKORE",-8.3,7.75,"C"
"34347",2007,"Battles","FACA: Military Forces of Central African Republic (2003-)","Unidentified Armed Group (CAR)","Central African Republic","Ouham-Pende","Bang",7.46,15.55,647060,20070421,101.8,"MOUNDOU",16.06,8.56,"H"
"24620",2000,"Violence against civilians","Hema Ethnic Militia (DRC)","Civilians (DRC)","Democratic Republic of Congo","Ituri","Bunia",1.56,30.25,636740,20000126,88.9,"KASESE",30.1,0.18,"M"
"18623",1999,"Violence against civilians","Turkana Ethnic Militia (Kenya)","Civilians (Kenya)","Kenya","Turkana District","Naro Moru",-0.05,36.9,637170,19990305,85.3,"NYERI",36.96,-0.43,"H"
"12296",2008,"Violence against civilians","MNJ: Nigerien Movement for Justice","Civilians (Niger)","Niger","Niamey","Niamey",13.51,2.11,610520,20080106,81.5,"NIAMEY-AERO",2.16,13.48,"C"
"26921",1998,"Battles","Military Forces of Ethiopia (1991-)","Military Forces of Eritrea (1993-)","Eritrea","Southwest","Shelalo",12.35,42.15,634710,19980506,90.69,"DIREDAWA",41.84,9.6,"M"
"3375",1998,"Violence against civilians","Hutu Rebels","Civilians (Burundi)","Burundi","Ngozi","Mparamirundi",-2.83,29.66,637260,19980924,72.69,"KABALE",29.98,-1.25,"M"
"5599",2006,"Battles","Idagale clan militia","Arab clan militia","Somalia","Woqooyi Galbeed","Hargeysa",9.58,44.06,631700,20060302,75.69,"HARGEISA",44.08,9.5,"C"
"7848",2008,"Riots","Protesters (South Africa)","ZIPOVO: Zimbabwe Political Victims Organization (Zimbabwe)","South Africa","Gauteng Province","Johannesburg",-26.2,28.04,683680,20080227,78.3,"JOHANNESBURG INTNL.",28.23,-26.14,"M"
"27119",2003,"Violence against civilians","Unidentified Armed Group (Nigeria)","Civilians (Nigeria)","Nigeria","Kano State","Kano City",11.99,8.51,610910,20030121,90.9,"MAGARIA",8.93,12.98,"M"
"30537",2010,"Riots","Rioters (Nigeria)","","Nigeria","Lagos State","Ajegunle",6.45,3.34,652010,20100403,94.09,"LAGOS/IKEJA",3.33,6.58,"H"
"7096",2003,"Riots","Protesters (Zambia)","","Zambia","Lusaka","Lusaka",-15.41,28.28,676650,20030314,77.4,"LUSAKA INTERNATIONA",28.45,-15.31,"M"
"2201",2009,"Battles","APCLS: Alliance of Patriots for a Free and Sovereign Congo","FDLR: Democratic Forces for the Liberation of Rwanda","Democratic Republic of Congo","Nord-Kivu","Nord-Kivu",-0.66,28.75,637260,20091215,69.8,"KABALE",29.98,-1.25,"M"
"33079",1999,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","South Kordofan","Nuba Mountains",12,30.75,628030,19990818,98.59,"RASHAD",31.04,11.86,"M"
"9128",2009,"Riots","","Protesters (Uganda)","Uganda","Kampala District","Kampala",0.31,32.58,637050,20090818,79.19,"ENTEBBE AIRPORT",32.45,0.05,"M"
"12414",2001,"Riots","Protesters (Egypt)","Police Forces of Egypt","Egypt","Al Iskandariyah","Alexandria",31.19,29.91,623180,20011002,81.69,"ALEXANDRIA/NOUZHA",29.93,31.16,"M"
"13492",2002,"Violence against civilians","Unidentified Armed Group (Nigeria)","Civilians (Nigeria)","Nigeria","Oyo State","Ibadan",7.38,3.89,652010,20020725,82.4,"LAGOS/IKEJA",3.33,6.58,"C"
"12023",2009,"Violence against civilians","Bunyoro Ethnic Militia (Uganda)","Civilians (Uganda)","Uganda","Bunyoro","Bunyoro",1.41,31.08,636540,20090810,81.3,"MASINDI",31.71,1.68,"M"
"13802",2004,"Riots","Rioters (Nigeria)","","Nigeria","Lagos State","Ikoyi",6.45,3.43,652010,20040902,82.4,"LAGOS/IKEJA",3.33,6.58,"C"
"19327",2003,"Violence against civilians","Civilians (Uganda)","LRA: Lord's Resistance Army","Uganda","Lira Distirct","Erute",2.2,32.96,636580,20030103,85.8,"SOROTI",33.61,1.71,"M"
"32467",2000,"Riots","Independent Political Candidate","Rioters (Egypt)","Egypt","Al Bahr al Ahmar","Tokham in Barqet",23.5,33.34,624140,20001010,97.19,"ASSWAN",32.78,23.96,"M"
"8296",2002,"Battles","Military Forces of Sudan (1989-)","SPLA/M: Sudanese People's Liberation Army/Movement","Sudan","East Equatoria","Kapoeta",4.77,33.59,636300,20020608,78.8,"GULU",32.33,2.75,"C"
"26669",2000,"Violence against civilians","Hema Ethnic Militia (DRC)","Civilians (DRC)","Democratic Republic of Congo","Ituri","Bunia",1.56,30.25,636740,20000127,90.5,"KASESE",30.1,0.18,"H"
"21280",2004,"Battles","Military Forces of Niger (1999-2010)","GSPC: Salafist Group for Call and Combat","Niger","Agadez","Agadez",16.96,7.98,610240,20040303,86.5,"AGADEZ",7.96,16.96,"C"
"773",2009,"Battles","Military Forces of Democratic Republic of Congo (2003-)","FDLR: Democratic Forces for the Liberation of Rwanda","Democratic Republic of Congo","Rutshuru region of North Kivu","Rubungu",-1.18,29.44,637260,20090124,64.4,"KABALE",29.98,-1.25,"C"
"7196",1997,"Battles","MPLA:  Popular Movement for the Liberation of Angola (1961-)","FLEC: Front for the Liberation of the Enclave of Cabinda","Angola","Cabinda","Cabinda",-5.55,12.19,644000,19970622,77.5,"POINTE-NOIRE",11.89,-4.81,"C"
"641",2005,"Violence against civilians","AAWU: Aggrieved Affiliates Workers' Union","Civilians (Zimbabwe)","Zimbabwe","Harare","Harare",-17.83,31.04,677750,20050709,63.5,"HARARE (KUTSAGA)",31.13,-17.91,"C"
"6063",2006,"Riots","Protesters (MDC - Movement for Democratic Change)","Police Forces of Zimbabwe (1980-)","Zimbabwe","Harare","Harare Central",-17.83,31.04,677750,20060111,76.5,"HARARE (KUTSAGA)",31.13,-17.91,"M"
"31563",1998,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Uganda)","Uganda","Moroto District","Morulem",2.49,34.66,636120,19981229,95.69,"LODWAR",35.61,3.11,"M"
"14703",2006,"Battles","EPPF: Ethiopian People's Patriotic Front","Military Forces of Ethiopia (1991-)","Ethiopia","Kefa","Jima",7.66,36.83,634020,20060406,82.8,"JIMMA",36.83,7.66,"M"
"24314",2000,"Violence against civilians","Military Forces of Guinea (1984-2008)","Civilians (Sierra Leone)","Sierra Leone","Northern","Barbara",8.82,-13.13,618320,20001027,88.69,"CONAKRY/GBESSIA",-13.61,9.56,"M"
"3773",2001,"Battles","Islamic Militia (Nigeria)","Christian Militia (Nigeria)","Nigeria","Plateau State","Jos",9.91,8.89,651340,20010801,73.4,"JOS",8.89,9.86,"C"
"34749",1998,"Battles","Unidentified Armed Group (Nigeria)","Police Forces of Nigeria (1993-1999)","Nigeria","Kano State","Kano City",11.99,8.51,610910,19980528,103.59,"MAGARIA",8.93,12.98,"M"
"17507",2001,"Battles","UPDF: Military Forces of Uganda (1986-)","LRA: Lord's Resistance Army","Uganda","Gulu District","Awach",3,32.4,636300,20010325,84.4,"GULU",32.33,2.75,"M"
"20441",2007,"Riots","Rioters (Zambia)","","Zambia","Copperbelt","Lufwanyama",-13.43,27.75,676650,20070317,86,"LUSAKA INTERNATIONA",28.45,-15.31,"M"
"19236",2005,"Battles","UPDF: Military Forces of Uganda (1986-)","LRA: Lord's Resistance Army","Uganda","Pader District","Atanga",3.01,32.77,636610,20050211,85.59,"KITALE",35,1.01,"H"
"3262",2007,"Violence against civilians","Police Forces of Zimbabwe  (1980-)","Civilians (Zimbabwe)","Zimbabwe","Harare","Harare",-17.83,31.04,677750,20070713,72.3,"HARARE (KUTSAGA)",31.13,-17.91,"M"
"7320",1999,"Violence against civilians","Hutu Rebels","Civilians (Burundi)","Burundi","Cibitoke","Musaga",-2.96,29.16,637260,19990707,77.69,"KABALE",29.98,-1.25,"M"
"22870",2002,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Sudan)","Sudan","Equatoria","Acholi Mountains",4.08,32.59,636300,20020427,87.8,"GULU",32.33,2.75,"M"
"17880",2004,"Violence against civilians","Unidentified Armed Group (South Africa)","Civilians (South Africa)","South Africa","KwaZulu-Natal Province","Umlazi",-29.96,30.88,685880,20040125,84.69,"DURBAN INTNL. AIRPO",30.95,-29.96,"M"
"33962",2007,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Chad)","Chad","Biltine","Tine",15.01,22.78,627700,20070321,100.4,"GENINA",22.45,13.48,"M"
"19007",2007,"Violence against civilians","Police Forces of Zimbabwe  (1980-)","Civilians (MDC - Movement for Democratic Change)","Zimbabwe","Harare","Highfield",-17.88,30.99,677750,20070216,85.5,"HARARE (KUTSAGA)",31.13,-17.91,"H"
"5117",2006,"Riots","Rioters (Zambia)","""China Nonferrous Metal Mining (Group) Co., Ltd.""","Zambia","Northern","Chambeshi",-10.94,31.06,638810,20060725,75.19,"SUMBAWANGA",31.63,-7.96,"M"
"11238",2009,"Battles","UPDF: Military Forces of Uganda (1986-)","Matheniko Ethnic Militia (Uganda)","Uganda","Moroto District","Ayanyang grazing ground",2.5,34.25,636580,20090605,80.59,"SOROTI",33.61,1.71,"M"
"13007",1997,"Battles","AFRC: Armed Forces Revolutionary Council","ECOMOG: Economic Community of West African States Monitoring Group (Sierra Leone)","Sierra Leone","Southern","Malema",7.44,-12.14,618320,19970620,82.4,"CONAKRY/GBESSIA",-13.61,9.56,"C"
"34321",2006,"Riots","Rioters (Sudan)","","Sudan","Northern Darfur","El Fashir",13.63,25.35,627600,20060514,101.69,"EL FASHER",25.33,13.61,"M"
"7677",2000,"Battles","RUF: Revolutionary United Front of Sierra Leone","Military Forces of Guinea (1984-2008)","Guinea","Kindia","Bramaia",10.47,-13.47,618180,20000913,78.09,"KINDIA",-12.86,10.05,"C"
"11290",2009,"Violence against civilians","Unidentified Armed Group (South Africa)","Civilians (South Africa)","South Africa","Gauteng Province","Roodepoort",-26.16,27.87,682672,20091024,80.59,"JOHANNESBURG B/G",28,-26.14,"M"
"20677",2009,"Battles","AQIM: Al-Qaeda in the Islamic Maghreb","Police Forces of Mauritania (2008-2009)","Mauritania","Trarza","Nouakchott",18.11,-16.04,614420,20090715,86,"NOUAKCHOTT",-15.94,18.1,"M"
"30847",2009,"Violence against civilians","Civilians (Sudan)","LRA: Lord's Resistance Army","Sudan","Raja in Western Bahr el-Ghazal","Kor al-Madinah (al-Madia)",8.46,25.68,628090,20091018,94.59,"BABANUSA",27.81,11.33,"M"
"30495",2008,"Battles","Unidentified armed actor (Egypt)","Police Forces of Egypt","Egypt","Al Qahirah","Cairo",30.04,31.25,623660,20080714,94.09,"CAIRO AIRPORT",31.39,30.1,"M"
"9611",2005,"Battles","UPDF: Military Forces of Uganda (1986-)","LRA: Lord's Resistance Army","Sudan","Southern","Kit Valley",3.59,32.04,636300,20050817,79.69,"GULU",32.33,2.75,"C"
"31946",2004,"Violence against civilians","Janjaweed","Civilians (Sudan)","Sudan","Equatoria","Shilok",4,33.06,636120,20040509,96.3,"LODWAR",35.61,3.11,"M"
"18850",2005,"Riots","Rioters (South Africa)","","South Africa","Mpumalanga Province","Dennilton",-25.25,29.16,682730,20050919,85.3,"WITBANK",29.18,-25.83,"H"
"9476",1999,"Battles","Military Forces of Burundi (1996-2005)","Hutu Rebels","Burundi","Bujumbura","Kinama",-3.33,29.37,643870,19991231,79.69,"KIGALI INTL",30.13,-1.96,"M"
"25972",2010,"Battles","LRA: Lord's Resistance Army","UPDF: Military Forces of Uganda (1986-)","Central African Republic","Haut-Mbomou","Djema",6.05,25.31,646560,20100101,89.59,"BANGASSOU",22.83,4.73,"M"
"29088",1998,"Battles","Military Forces of Guinea-Bissau (1998-2000)","Mutiny of Military Forces of Guinea-Bissau (1998-2000)","Guinea-Bissau","Bissau","Bissau",11.86,-15.63,616950,19980721,92.69,"ZIGUINCHOR",-16.26,12.55,"M"
"18388",2002,"Battles","CNDD-FDD: National Council for the Defense of Democracy- Ndayikengurukiye faction","Military Forces of Burundi (1996-2005)","Burundi","Ruyigi","Ruyigi",-3.47,30.25,638010,20020831,85.09,"KIGOMA",29.66,-4.88,"M"
"33163",2004,"Battles","UPDF: Military Forces of Uganda (1986-)","LRA: Lord's Resistance Army","Uganda","Pader District","Pader",3.04,33.21,636120,20040216,98.59,"LODWAR",35.61,3.11,"M"
"21766",2003,"Violence against civilians","Police Forces of Ivory Coast (2000-)","Civilians (Ivory Coast)","Ivory Coast","Abidjan","Jerusalem shantytown",5.34,-4.02,655780,20030705,86.9,"ABIDJAN",-3.93,5.25,"M"
"15092",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Coast Province","Mombasa",-4.05,39.66,638200,19970820,83.3,"MOMBASA",39.61,-4.03,"M"
"24333",2001,"Battles","Military Forces of Guinea (1984-2008)","Military Forces of Liberia (1997-2003)","Liberia","Yeala","Yeala",7.82,-9.4,618490,20010524,88.69,"NZEREKORE",-8.3,7.75,"M"
"22458",2004,"Riots","Protestors (Angola)","","Angola","Luanda","Luanda",-8.83,13.23,661600,20040211,87.59,"LUANDA",13.23,-8.85,"H"
"21287",2004,"Battles","Unidentified Armed Group (Burkina Faso)","Police Forces of Ivory Coast (2000-)","Ivory Coast","Gagnoa","Siegouekou (near Mama)",6.31,-5.98,655570,20041223,86.5,"GAGNOA",-5.94,6.13,"M"
"10592",2001,"Violence against civilians","ZANU-PF: Zimbabwe African National Union-Patriotic Front Militia","Civilians (Zimbabwe)","Zimbabwe","Mashonaland East","Murehwa",-17.64,31.78,677810,20011228,80.59,"MUTOKO",32.21,-17.41,"M"
"21954",1998,"Battles","LRA: Lord's Resistance Army","UPDF: Military Forces of Uganda (1986-)","Uganda","Lira District","Erute",2.2,32.96,636580,19980522,87.09,"SOROTI",33.61,1.71,"M"
"14200",2009,"Battles","SPLA: Sudanese People's Liberation Army","LRA: Lord's Resistance Army","Democratic Republic of Congo","Orientale","Garamba National Park",4.16,29.5,636020,20090128,82.4,"ARUA",30.91,3.04,"M"
"15522",2001,"Battles","FNL: National Forces for the Liberation of the Hutu People","Military Forces of Burundi (1996-2005)","Burundi","Bujumbura","Kinama",-3.33,29.37,638010,20010225,83.5,"KIGOMA",29.66,-4.88,"M"
"9739",2001,"Violence against civilians","Unidentified Armed Group (Burundi)","Civilians (Burundi)","Burundi","Bujumbura-Rural","Ruziba in Kabezi",-3.45,29.35,643870,20011117,79.9,"KIGALI INTL",30.13,-1.96,"M"
"16426",2000,"Battles","Hutu Rebels","Military Forces of Burundi (1996-2005)","Burundi","Bujumbura-Rural","Tenga in Mutimbuzi",-3.3,29.41,638010,20001125,84.19,"KIGOMA",29.66,-4.88,"M"
"29064",2008,"Violence against civilians","Unidentified Armed Group (Somalia)","Civilians (Somalia)","Somalia","Bay","Baidoa",3.11,43.65,634780,20081228,92.5,"GODE",43.58,5.9,"M"
"24020",2007,"Violence against civilians","Police Forces of Zimbabwe  (1980-)","Civilians (Zimbabwe)","Zimbabwe","Harare","Harare",-17.83,31.04,677750,20071122,88.3,"HARARE (KUTSAGA)",31.13,-17.91,"H"
"32024",2008,"Battles","SLM/A-Unity: Sudan Liberation Movement/Army-Unity Faction","Military Forces of Sudan (1989-)","Sudan","South Darfur","Manawashi (Manawashe)",12.66,24.96,627900,20080301,96.4,"NYALA",24.88,12.05,"M"
"27212",2000,"Violence against civilians","Police Forces of Ivory Coast (2000-)","Civilians (Ivory Coast)","Ivory Coast","Savanes","Korhogo",9.44,-5.63,655360,20001205,91,"KORHOGO",-5.61,9.41,"M"
"16483",2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Kolahun",8.28,-10.08,618340,20010820,84.19,"KISSIDOUGOU",-10.13,9.41,"M"
"31801",2009,"Violence against civilians","Civilians (Senegal)","Unidentified Armed Group (Senegal)","Senegal","Casamance","Sedhiou",12.75,-15.5,616980,20091216,95.9,"KOLDA",-14.96,12.88,"M"
"21666",2001,"Violence against civilians","ZANU-PF: Zimbabwe African National Union-Patriotic Front Militia","Civilians (Zimbabwe)","Zimbabwe","Midlands","Gokwe",-18.21,28.93,678610,20011004,86.9,"GOKWE",28.93,-18.21,"M"
"15187",2001,"Battles","Military Forces of Burundi (1996-2005)","Hutu Rebels","Burundi","Makamba","Kayogoro",-4.11,29.97,638010,20010920,83.3,"KIGOMA",29.66,-4.88,"M"
"7832",2004,"Violence against civilians","MDC: Movement for Democratic Change Militia","Civilians (MDC - Movement for Democratic Change)","Zimbabwe","Harare","Zengeza",-17.99,31.04,677750,20041229,78.3,"HARARE (KUTSAGA)",31.13,-17.91,"M"
"24660",2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Arthington",6.51,-10.68,618490,20020507,88.9,"NZEREKORE",-8.3,7.75,"M"
"34925",2008,"Battles","SLA-Minnawi: Sudan Liberation Army-Minnawi Faction","SLM/A-FW: Sudan Liberation Movement/Army-Free Will","Sudan","North Darfur","Kafut (Kafod)",13.86,24.89,627600,20080524,104.4,"EL FASHER",25.33,13.61,"H"
"32856",2002,"Battles","SLM/A: Sudan Liberation Movement/Army","Military Forces of Sudan (1989-)","Sudan","East Equatoria","Kapoeta",4.77,33.59,629410,20020605,97.9,"JUBA",31.6,4.86,"M"
"17921",2009,"Riots","Protesters (Somalia)","","Somalia","Maroodi Jeeh","Kulkiye",9.72,43.36,631700,20090405,84.69,"HARGEISA",44.08,9.5,"M"
"28245",1999,"Riots","","Rioters (Ivory Coast)","Ivory Coast","Fromager","Gagnoa",6.13,-5.93,655570,19990503,91.8,"GAGNOA",-5.94,6.13,"M"
"13747",2004,"Violence against civilians","ZANU-PF: Zimbabwe African National Union-Patriotic Front Militia","Civilians (MDC - Movement for Democratic Change)","Zimbabwe","Mashonaland West","Mhondoro",-18.45,30.61,677750,20040208,82.4,"HARARE (KUTSAGA)",31.13,-17.91,"M"
"14623",2002,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Uganda)","Uganda","Gulu District","Opit",2.61,32.5,636300,20020914,82.8,"GULU",32.33,2.75,"M"
"3608",2006,"Violence against civilians","Unidentified Political Militia (Zimbabwe)","Civilians (Zimbabwe)","Zimbabwe","Mashonaland Central","Rushinga",-16.66,32.25,677790,20060710,73.19,"MOUNT DARWIN",31.58,-16.78,"C"
"11606",2002,"Violence against civilians","Unidentified Armed Group (Tanzania)","Civilians (Burundi)","Tanzania","Kigoma","Kibondo",-3.58,30.72,643870,20020116,81,"KIGALI INTL",30.13,-1.96,"M"
"16664",2002,"Battles","LRA: Lord's Resistance Army","UPDF: Military Forces of Uganda (1986-)","Uganda","Pader District","Kibong Hills",3.04,33.21,636300,20021115,84.19,"GULU",32.33,2.75,"M"
"4483",2007,"Riots","Police Forces of Zimbabwe  (1980-)","Protesters (WOZA - Women of Zimbabwe Arise)","Zimbabwe","Midlands","Gweru",-19.45,29.81,678670,20070503,74.3,"GWERU",29.85,-19.45,"M"
"9789",2005,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","East Equatoria","Yei",4.09,30.67,636020,20050712,79.9,"ARUA",30.91,3.04,"M"
"696",1997,"Violence against civilians","GIA: Armed Islamic Group of Algeria","Civilians (Algeria)","Algeria","Tipaza","Douaouda",36.67,2.78,603900,19970103,64.4,"DAR-EL-BEIDA",3.21,36.68,"M"
"19121",2001,"Battles","Military Forces of Burundi (1996-2005)","FNL: National Forces for the Liberation of the Hutu People","Burundi","Cibitoke","Murwi",-2.88,29.2,643870,20010825,85.59,"KIGALI INTL",30.13,-1.96,"H"
"32023",2007,"Battles","UFDD: Force for Democracy and Development","Military Forces of Chad (1990-)","Chad","Ouaddai","Abou Goulem",13.61,21.62,647560,20071215,96.4,"ABECHE",20.85,13.85,"M"
"11139",2008,"Riots","","Protesters (Uganda)","Uganda","Mukono District","Kyampisi",0.5,32.71,636820,20080627,80.59,"JINJA",33.18,0.44,"M"
"16681",2002,"Battles","LRA: Lord's Resistance Army","UPDF: Military Forces of Uganda (1986-)","Uganda","Pader District","""Lamin-Cwida, Puranga sub-county""",2.61,32.93,636300,20021124,84.19,"GULU",32.33,2.75,"M"
"3149",2009,"Battles","Unidentified Armed Group (South Africa)","Police Forces of South Africa (2009-)","South Africa","Gauteng Province","Olifantsfontein",-25.96,28.23,682630,20090824,72,"PRETORIA (IRENE)",28.21,-25.91,"M"
"3900",2006,"Battles","Military Forces of Algeria (1999-)","GSPC: Salafist Group for Preaching and Combat","Algeria","Biskra","Biskra",34.84,5.73,605250,20061128,73.4,"BISKRA",5.73,34.79,"M"
"133",1998,"Battles","GIA: Armed Islamic Group of Algeria","Military Forces of Algeria (1994-1999)","Algeria","Bouira","Bouira",36.38,3.9,603900,19980503,55.9,"DAR-EL-BEIDA",3.21,36.68,"C"
"33189",2005,"Riots","Protesters (Mauritania)","Police Forces of Mauritania (1984-2005)","Mauritania","Trarza","Nouakchott",18.11,-16.04,614420,20050503,98.59,"NOUAKCHOTT",-15.94,18.1,"M"
"16713",2003,"Violence against civilians","Congres Panafricain des Jeunes Patriotes (Young Patriots)","Civilians (France)","Ivory Coast","Abidjan","Abidjan",5.34,-4.02,655780,20030130,84.19,"ABIDJAN",-3.93,5.25,"M"
"1987",2002,"Battles","RCD: Rally for Congolese Democracy (Goma)","Military Forces of Democratic Republic of Congo (2003-)","Democratic Republic of Congo","Shaba","Moliro",-8.21,30.56,639320,20020312,69.8,"MBEYA",33.46,-8.93,"C"
"28745",2002,"Violence against civilians","ZANU-PF: Zimbabwe African National Union-Patriotic Front Militia","Civilians (Zimbabwe)","Zimbabwe","Midlands","Gokwe",-18.21,28.93,678610,20020313,92.3,"GOKWE",28.93,-18.21,"H"
"10313",1998,"Violence against civilians","GIA: Armed Islamic Group of Algeria","Civilians (Algeria)","Algeria","Medea","Medea",36.26,2.75,604300,19980502,80.59,"MILIANA",2.23,36.29,"M"
"4872",2000,"Riots","Protesters (Senegal)","","Senegal","Sedhiou","Salikegne",13.25,-15.78,617120,20000801,75.19,"KEREWAN",-16.18,13.48,"C"
"12432",2002,"Battles","PDP: People's Democratic Party Militia (Nigeria)","ANPP: All Nigeria People's Party Militia (Nigeria)","Nigeria","Cross River State","Calabar",4.94,8.31,649100,20020712,81.69,"DOUALA OBS.",9.73,4,"C"
"6023",2000,"Riots","Protesters (South Africa)","","South Africa","Western Cape Province","Cape Town",-33.92,18.42,688170,20000107,76.5,"CAPE TOWN-PORTNET",18.43,-33.9,"M"
"27643",2003,"Violence against civilians","Civilians (DRC)","UPC: Union of Congolese Patriots","Uganda","Arua District","Arua",3.01,30.93,636020,20030223,91.4,"ARUA",30.91,3.04,"H"
